STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,WT09,WT01,WT06,WT05,WT02,WT04,WT08,WT03
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150101,0.00,0.0,0.0,20,32,14,14.5,240,250,23.9,30.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150102,0.00,0.0,0.0,26,34,15,4.7,150,150,12.1,13.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150103,0.57,0.0,0.4,31,34,29,5.6,140,140,13.0,14.1,-9999,1,1,-9999,-9999,1,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150104,0.13,1.2,2.2,29,33,2,15.9,320,320,25.9,31.1,1,1,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150105,0.15,2.0,1.8,2,6,-3,10.3,310,310,21.9,25.9,-9999,1,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150106,0.01,3.9,0.2,5,10,-5,13.9,270,280,23.9,30.0,1,1,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150107,0.00,3.1,0.0,3,6,-6,17.4,330,320,28.0,33.1,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150108,0.06,3.1,3.0,-2,18,-8,17.7,300,300,28.0,38.9,1,-9999,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150109,0.00,5.1,0.0,8,11,0,16.6,330,330,30.0,38.0,1,-9999,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150110,0.00,3.9,0.0,5,24,-2,11.6,180,190,21.9,27.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150111,0.19,3.9,2.6,26,32,22,8.3,180,180,18.1,21.0,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150112,0.00,5.9,0.4,23,28,15,12.8,10,10,21.0,25.1,-9999,1,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150113,0.00,5.9,0.2,17,19,3,7.6,50,50,19.9,23.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150114,0.00,5.9,0.0,11,19,1,6.5,220,220,14.1,18.1,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150115,0.00,5.1,0.0,22,34,17,10.1,240,230,21.0,27.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150116,0.00,3.9,0.0,28,34,23,8.3,140,140,15.0,18.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150117,0.00,3.9,0.0,34,42,26,15.4,210,220,28.0,36.9,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150118,0.00,0.0,0.0,37,40,27,10.5,300,240,19.9,23.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150119,0.00,0.0,0.0,32,41,25,5.4,100,100,12.1,13.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150120,0.00,0.0,0.0,34,36,29,7.4,40,50,17.0,23.0,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150121,0.01,0.0,0.1,31,33,29,7.6,20,40,14.1,17.0,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150122,0.00,0.0,0.0,30,31,28,6.9,260,230,15.0,19.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150123,0.00,0.0,0.0,30,31,29,11.4,220,260,17.0,23.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150124,0.00,0.0,0.0,33,43,29,8.1,260,260,18.1,23.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150125,0.08,0.0,0.6,31,34,24,14.5,40,50,25.9,35.1,-9999,1,-9999,-9999,-9999,1,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150126,0.07,0.0,1.0,23,26,15,5.6,60,60,13.0,16.1,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150127,0.00,1.2,0.0,27,32,20,6.0,40,40,13.0,15.0,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150128,0.01,1.2,0.0,26,34,19,11.0,170,160,19.9,25.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150129,0.01,1.2,0.1,33,35,28,13.9,320,330,25.9,35.1,-9999,1,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150130,0.00,1.2,0.0,27,30,18,7.4,350,10,19.9,27.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150131,0.12,0.0,1.3,27,36,19,6.9,250,250,16.1,19.0,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150201,0.87,3.9,16.2,29,31,19,18.3,40,40,30.0,38.9,1,1,-9999,-9999,1,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150202,0.05,18.1,1.8,15,19,6,12.8,350,350,23.9,31.1,1,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150203,0.09,16.9,1.6,13,26,2,5.4,220,210,15.0,18.1,-9999,1,-9999,-9999,1,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150204,0.02,16.1,0.3,21,25,4,10.5,340,340,19.9,23.9,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150205,0.00,15.0,0.0,7,15,-2,8.9,240,240,19.9,25.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150206,0.00,14.2,0.0,17,31,13,8.5,250,230,18.1,25.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150207,0.00,14.2,0.0,29,41,18,7.6,200,230,16.1,21.0,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20150208,0.01,9.1,0.0,36,39,25,9.8,10,10,23.0,29.1,-9999,1,1,-9999,-9999,-9999,1,-9999
